sammy@ucsc.edu	Sammy The Slug	27	bananas
joe@example.com	Joe Mama	100	borgar
mom@mom.com	mom dimas	8	cereal
urendon@ucsc.edu	ursula rendon	9~ish	chicken
gabinhighland@gmail.com	gabriel dimas	9	tamales
ericacaicedo@erica.com	erica caicedo	8	cookies
katelyncaicedo@katelyn.edu	katelyen caicedo	6.5	bean dip
robvendiola@gmail.com	rob vendiola	10.5	chicken curry
dad@dad.com	dad dimas	10	eggs
teri@teri.teri	teri dimas	ion know	fruit
todd@example.com	Todd Todderson	12	tacos
cisco@dog.woof	cisco da dog	1	treats!
